SupplierID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country
1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,NULL,EC1 4SD,UK
2,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA
3,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,707 Oxford Rd.,Ann Arbor,MI,48104,USA
4,Tokyo Traders,Yoshi Nagase,Marketing Manager,"9-8 Sekimai
Musashino-shi",Tokyo,NULL,100,Japan
5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra ,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain
6,Mayumi's,Mayumi Ohno,Marketing Representative,"92 Setsuko
Chuo-ku",Osaka,NULL,545,Japan
7,"Pavlova, Ltd.",Ian Devling,Marketing Manager,"74 Rose St.
Moonie Ponds",Melbourne,Victoria,3058,Australia
8,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King's Way,Manchester,NULL,M14 GSD,UK
9,PB Knckebrd AB,Lars Peterson,Sales Agent,Kaloadagatan 13,Gteborg,NULL,S-345 67,Sweden 
10,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,So Paulo,NULL,5442,Brazil
11,Heli Swaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstrae 5,Berlin,NULL,10785,Germany
12,Plutzer Lebensmittelgromrkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,NULL,60439,Germany
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Frahmredder 112a,Cuxhaven,NULL,27478,Germany
14,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,NULL,48100,Italy
15,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,NULL,1320,Norway
16,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,"3400 - 8th Avenue
Suite 210",Bend,OR,97101,USA
17,Svensk Sjfda AB,Michael Bjrn,Sales Representative,Brovallavgen 231,Stockholm,NULL,S-123 45,Sweden
18,Aux joyeux ecclsiastiques,Guylne Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,NULL,75004,France
19,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,"Order Processing Dept.
2100 Paul Revere Blvd.",Boston,MA,2134,USA
20,Leka Trading,Chandra Leka,Owner,"471 Serangoon Loop, Suite #402",Singapore,NULL,512,Singapore
21,Lyngbysild,Niels Petersen,Sales Manager,"Lyngbysild
Fiskebakken 10",Lyngby,NULL,2800,Denmark
22,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,"Verkoop
Rijnweg 22",Zaandam,NULL,9999 ZZ,Netherlands
23,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,NULL,53120,Finland
24,"G'day, Mate",Wendy Mackenzie,Sales Representative,"170 Prince Edward Parade
Hunter's Hill",Sydney,NSW,2042,Australia
25,Ma Maison,Jean-Guy Lauzon,Marketing Manager,2960 Rue St. Laurent,Montral,Qubec,H1J 1C3,Canada
26,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,"Via dei Gelsomini, 153",Salerno,NULL,84100,Italy
27,Escargots Nouveaux,Marie Delamare,Sales Manager,"22, rue H. Voiron",Montceau,NULL,71300,France
28,Gai pturage,Eliane Noz,Sales Representative,"Bat. B
3, rue des Alpes",Annecy,NULL,74000,France
29,Forts d'rables,Chantal Goulet,Accounting Manager,148 rue Chasseur,Ste-Hyacinthe,Qubec,J2S 7S8,Canada
